Target,MAE,R2,Directional_Accuracy,Legacy_Global_Accuracy,Log_Transformed,Last_Updated
PTS,4.7551,0.4632,60.09,73.98,False,2026-05-07 19:54:25
REB,1.942,0.4123,57.82,71.06,False,2026-05-07 19:54:26
AST,1.4281,0.4653,55.52,72.29,False,2026-05-07 19:54:27
FG3M,0.9437,0.2387,54.86,67.04,True,2026-05-07 19:54:28
FG3A,1.5565,0.5137,53.53,74.46,False,2026-05-07 19:54:29
BLK,0.5418,0.1623,39.6,35.04,True,2026-05-07 19:54:30
STL,0.7731,0.0199,61.24,76.4,True,2026-05-07 19:54:31
TOV,0.9542,0.2015,62.25,67.04,True,2026-05-07 19:54:32
PRA,6.0747,0.5168,60.87,75.63,False,2026-05-07 19:54:33
PR,5.6092,0.4724,60.58,74.45,False,2026-05-07 19:54:35
PA,5.1984,0.5252,60.41,74.94,False,2026-05-07 19:54:36
RA,2.6635,0.429,58.55,72.91,False,2026-05-07 19:54:37
SB,0.9799,0.0659,62.49,61.69,True,2026-05-07 19:54:38
FGM,1.8325,0.415,58.29,72.78,False,2026-05-07 19:54:38
FGA,2.7878,0.5709,60.35,78.95,False,2026-05-07 19:54:39
FTM,1.4748,0.348,50.41,62.77,False,2026-05-07 19:54:40
FTA,1.765,0.3613,52.94,70.5,False,2026-05-07 19:54:41
FPTS,7.7479,0.4605,61.5,74.07,False,2026-05-07 19:54:42
PTS_1H,3.1113,0.3553,58.75,69.45,False,2026-05-07 19:54:42
PRA_1H,3.8331,0.4334,59.94,73.25,False,2026-05-07 19:54:43
FPTS_1H,4.9217,0.3779,61.13,71.88,False,2026-05-07 19:54:44
